,phone_no_m,sms_count,sms_nunique,sms_rate,calltype_2,calltype_rate,hour_mode,hour_mode_count,hour_nunique,day_mode,day_mode_count,day_nunique,busi_count,flow_mean,flow_median,flow_min,flow_max,flow_var,flow_sum,month_ids,flow_month,arpu_mean,arpu_var,arpu_max,arpu_min,arpu_median,arpu_sum,arpu_skew,arpu_sem,arpu_quantile,label
6105,41ee151142ad8017b9ac82602ed269216a0913e3b7cbec092f288b887e19db9d57457acab8f599c66d3eb835aec9fba9fb0174ae5b5666153e558496d2f39e45,1293.0,265.0,4.879245283018868,1246.0,0.9636504253673628,14.0,228.0,24.0,1.0,87.0,31.0,414,114.74314125770354,0.2190809249877929,7.43865966796875e-05,16970.287568092346,662833.3218406684,207340.8562526703,8,25917.607031583782,122.9325,262.9189928571429,140.01,107.1,122.955,983.46,0.0083220676432432,5.732789382764978,122.955,1
2088,b5b638598f66d02511479d00e3c5d5ccd6c3903ac9f1a86c652cad0350a48975fd85229eaaf28fdad79e63ca1e84c9cc98b710db49f0c95cdd7314c783dcd4d6,74.0,9.0,8.222222222222221,65.0,0.8783783783783784,15.0,18.0,13.0,20.0,33.0,3.0,0,0.0,0.0,0.0,0.0,,0.0,0,,80.44,,80.44,80.44,80.44,80.44,,,80.44,1
2078,fa6b8ed390140b566bfc59fbcfd2a0fe9597a2a04377ac02e9f25bc0b0644e5327c1a809ce102c3dc64f5419c339500dc45da0c678fd66432cc3ab329db2cad6,70.0,25.0,2.8,58.0,0.8285714285714286,11.0,20.0,10.0,17.0,25.0,8.0,0,0.0,0.0,0.0,0.0,,0.0,0,,123.52,30022.3008,246.04,1.0,123.52,247.04,,122.52,123.52,1
2079,8278a96a99b2dcf86ccca6d9a45a210280b61eef80b11d323de72d02b8da758f31844c41330c40e382eccc4852c7dd9d67fe40b26d8065597609650beafd221c,53.0,6.0,8.833333333333334,53.0,1.0,15.0,53.0,1.0,5.0,53.0,1.0,36,0.4450666582262194,0.0330095291137695,0.000187873840332,3.9995937347412114,0.9384153045163424,16.467466354370117,1,16.467466354370117,22.82333333333333,1.3736333333333348,23.5,21.47,23.5,68.47,-1.732050807568887,0.6766666666666671,23.5,1
4708,6586eaace74729391a82b1dead658bb1d21def924fb4433501bd0f09976b53f3df096556906a3b4604fac4a8cd8561540eb9c7908ea305a3038120df6f943506,37.0,5.0,7.4,37.0,1.0,17.0,14.0,7.0,1.0,14.0,4.0,12,0.0718468886155348,0.0139837265014648,0.0004520416259765,0.6569147109985352,0.0323897043498711,0.9340095520019523,1,0.9340095520019523,116.85,,116.85,116.85,116.85,116.85,,,116.85,1
2082,786aa0b121ce7e2ddf8d844b681cf3bf5f4ea030f9977ed8cfef465b0fa59800833730e592d7f6ae0652ca73bd7628668ae874b9c33926b105a7becbf4162fcf,85.0,5.0,17.0,82.0,0.9647058823529412,16.0,18.0,13.0,8.0,23.0,6.0,14,0.3675965627034505,0.0222940444946289,0.0009832382202148,4.645127296447754,1.4070076530101645,5.513948440551758,1,5.513948440551758,237.41,,237.41,237.41,237.41,237.41,,,237.41,1
2084,0fb8a6172db8f4d16570f94a3221dc4f8d681bb17e715ef875dc3b72bef9876a2debae772669970d91f1933fe7ea4fa3e950ac7161e77f921fe5fc1b9ab77dce,3971.0,1032.0,3.847868217054264,3918.0,0.9866532359607152,8.0,344.0,24.0,22.0,210.0,31.0,0,0.0,0.0,0.0,0.0,,0.0,0,,51.3625,0.8398214285714295,53.1,50.5,51.2,410.9,1.0421325224654472,0.3240025903776521,51.2,1
2085,91203e5dbd204a4ade6064809a5ee5196fbbd2cccf721bdf21372b99b3dec7107b9ee7eff8544fb4c2d9e379c30c9ef37d3e98deb19686ed9a5162cfba7929c4,30.0,2.0,15.0,25.0,0.8333333333333334,11.0,8.0,7.0,25.0,28.0,3.0,0,0.0,0.0,0.0,0.0,,0.0,0,,15.86,,15.86,15.86,15.86,15.86,,,15.86,1
4705,ea59748437d703e4cc89e35af76822f0f374ab2262263c8bb66c03eef7bac8fdb057c4ec83b7d7a83b194ff545ad2d0c33a218a882e760b3d3fded1632631d19,191.0,26.0,7.346153846153846,179.0,0.93717277486911,15.0,40.0,15.0,29.0,31.0,17.0,27,4.040466992751412,0.0101828575134277,0.0003976821899414,182.97484302520752,727.3492537950688,185.8614816665649,4,46.46537041664124,25.22571428571428,156.0535619047619,48.07,11.65,19.2,176.57999999999998,1.1890935314415505,4.721585113750948,19.2,1
2090,4a7fdcc13b9ecb178823e1d9c3b2b651fd5907caeb99b1b3bd83186be1c790892e2cd60882e72a43beeb83c0d6dbfe0cb29b45108e3433780ebbf3fd4c4bfa15,81.0,10.0,8.1,80.0,0.9876543209876544,11.0,41.0,9.0,8.0,62.0,4.0,0,0.0,0.0,0.0,0.0,,0.0,0,,83.495,12843.23645,163.63,3.36,83.495,166.99,,80.13499999999999,83.495,1
