,phone_no_m,opposite_count,opposite_unique,voccalltype1,imeis,voc_calltype1,calltype_id_unique,phone2opposite_mean,phone2opposite_median,phone2opposite_max,phone2opposite_min,phone2opposite_var,phone2opposite_skew,phone2opposite_sem,phone2opposite_std,phone2opposite_quantile,phone2oppo_sum_mean,phone2oppo_sum_median,phone2oppo_sum_max,phone2oppo_sum_min,phone2oppo_sum_var,phone2oppo_sum_skew,phone2oppo_sum_sem,phone2oppo_sum_std,phone2oppo_sum_quantile,call_dur_mean,call_dur_median,call_dur_max,call_dur_min,call_dur_var,call_dur_skew,call_dur_sem,call_dur_std,call_dur_quantile,voc_hour_mode,voc_hour_mode_count,voc_hour_nunique,voc_day_mode,voc_day_mode_count,voc_day_nunique,label
0,b8758a7e6a4834bd69444ef669a5bb21a8b352d0a4759021bf9291a50cf981dc247d2ba5235987963804958952df69f0d626b6fae736ca6e0191bbdb5158d952,65,59,65.0,1.0,1.0,1,1.1016949152542372,1.0,3,1,0.1274108708357685,3.7998670195327846,0.0464704883270233,0.3569465938144928,1.0,143.38983050847455,43.0,2372,3,115776.31092928114,5.302057638136987,44.29797235465275,340.2591819911421,43.0,130.15384615384616,42.0,1800,3,71568.88221153847,4.510965708506677,33.1822200331949,267.52361056837293,42.0,16,24,5,25,65,1,1
1743,f77b5e6bf224cdf309467fa71af14e8b96d71f3a9196f59875ad2dcea2cc8d2addc85c42b7f60b4c20be3cd356c52bf0a2c8960683fa9230adf53a1f4411c024,316,44,142.0,6.0,0.4493670886075949,2,7.181818181818182,1.0,91,1,311.2219873150105,3.487236727038089,2.659553907036301,17.641484838726317,1.0,299.72727272727275,17.0,3959,2,678324.6215644821,3.377827242119563,124.16307289979598,823.6046512523361,17.0,41.734177215189874,25.5,296,2,2021.0402250351624,2.5303883350953345,2.5289715132180186,44.9559809706691,25.5,17,33,20,29,29,31,1
5189,af792653341c5a1396881bfd745d13acc323a71b52bfe82ff2bf6fe2eca0aa1c46f6274a0aa5e2623a49095073d1260f6f6616a45fa07ad4c68f3a0163df0e56,6597,313,3251.0,1.0,0.4927997574655146,2,21.076677316293928,3.0,698,1,5178.244101744896,7.251700885224602,4.067420665261285,71.9600173828835,3.0,806.0287539936103,94.0,33641,1,8236500.143401328,7.812118862945007,162.2180536924735,2869.9303377262186,94.0,38.242686069425496,25.0,1339,1,2829.819050879753,9.061542232291956,0.6549469001383792,53.1960435641576,25.0,10,568,24,17,332,31,1
1763,24466491e526d972bfd1e3486ca9fbde3d8fbfc41e9175857ae66a86380c9786eedd00d67f2a6af7d8eb90a1a54ea48f074fc122794a856a4185024b55a5f706,70,70,70.0,1.0,1.0,1,1.0,1.0,1,1,0.0,0.0,0.0,0.0,1.0,113.08571428571427,46.0,1746,1,53549.35486542442,5.579399846821185,27.65846676502111,231.4073353751441,46.0,113.08571428571427,46.0,1746,1,53549.35486542441,5.579399846821185,27.658466765021107,231.40733537514407,46.0,13,22,7,9,47,2,1
1762,43814ad306dc248d9af92f204e3ddced3b7b971c9953a895bd6f66cb8af52651b9694b0cbf90b90e9aaf5fde94ed8780221c7467d9aa0b8911e611fcbb0917a9,137,133,137.0,1.0,1.0,1,1.0300751879699248,1.0,4,1,0.0748462064251537,10.181243482621742,0.023722424660394,0.2735803472933569,1.0,174.8345864661654,59.0,7200,2,428484.8360674411,9.66567906847898,56.75993742727062,654.5875312495962,59.0,169.72992700729927,59.0,1848,2,130905.33093602394,3.6586039749881567,30.91137920728425,361.8084174477205,59.0,15,24,11,10,89,2,1
1761,795d37b70f9c25f7accb67cb5d2bb35f06c9a5acc62b1ca34f7bf8066368c385f73e28d0896f44f3aebc115a5dc1d81d1ebb040c5b70ab2b33b76bb34eb5b018,117,64,65.0,3.0,0.5555555555555556,2,1.828125,1.0,20,1,7.604910714285717,5.289549489472912,0.3447125322797451,2.757700258237961,1.0,207.34375,50.0,2165,1,179092.35615079355,3.357243586022613,52.89913104065273,423.19304832522187,50.0,113.41880341880342,28.0,1814,1,91694.279988211,4.695493837683636,27.99485300499065,302.8106338757128,28.0,14,24,17,9,37,24,1
1760,7e77c97e86fd7050e7634428f9a446cec0da3d077d67806c9f084f8b4c903e4352c1dbb150b1278e21ff5e1a624ed43dc8dc5f2715b1171a15882db41a57e167,99,96,99.0,3.0,1.0,1,1.03125,1.0,2,1,0.0305921052631579,5.474065294618759,0.0178512678305462,0.1749059897863932,1.0,112.44791666666669,40.0,1927,1,50583.1130482456,5.9316727968104175,22.954464219098902,224.9068986230649,40.0,109.04040404040404,40.0,1827,1,45673.50855493712,5.74654011288016,21.47902631084545,213.71361340573773,40.0,13,26,10,9,53,4,1
1757,d4e0aae2b92a491f5694adfa3cb9a1c2d89e18db4e73fc91508c2fb4d78ac0b176db325f9fbf3433fbbbb95900cd60bfcb4140434650d9f9b4f6d831b6c00529,42,42,42.0,2.0,1.0,1,1.0,1.0,1,1,0.0,0.0,0.0,0.0,1.0,101.6904761904762,35.5,1149,2,50539.43844367017,4.136405453138831,34.68890259066331,224.8097828024176,35.5,101.6904761904762,35.5,1149,2,50539.438443670144,4.136405453138831,34.688902590663304,224.80978280241752,35.5,15,12,7,9,41,2,1
1756,886183a068a135700e4934f614fc373a79cf88c1c850be44e5ad4fff6cc251a766270a939e812ef9cf81b4952a1525649674b586125bf39e6933c09f21c61168,135,133,135.0,2.0,1.0,1,1.0150375939849623,1.0,2,1,0.0149236728184096,8.060844717475556,0.0105928308918736,0.1221624853152949,1.0,120.203007518797,47.0,1872,1,52424.61756664389,5.361038736017164,19.85371645037924,228.9642277008439,47.0,118.42222222222222,44.0,1872,1,51735.36517412935,5.406518341996598,19.576131569229226,227.45409465237012,44.0,14,23,12,10,78,3,1
5199,87b032e92ef570df070a4e1d1e5ec641b217f8904a1afe18e4cdedb24fd3333811161a105c383aecf6d440e30a84009442124af909058a76c2115e55302c9761,2581,327,939.0,4.0,0.3638124757845796,2,7.892966360856269,2.0,301,1,566.5069135663497,7.777709536107058,1.3162207430919068,23.80140570567944,2.0,539.5045871559633,89.0,31999,1,4375042.827432876,11.433536866647849,115.66907911671598,2091.660304024742,89.0,68.3525765207284,30.0,3419,1,26216.320602855085,10.15416995770036,3.1870719457384533,161.91454722431547,30.0,17,300,21,6,196,31,1
